meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1229,9472,18,3,2024-03-02T15:07:11.091000+00:00,31.279,42.79,24.21,,238,False,98.279,"[None, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2049]",298.0
1229,9472,27,3,2024-03-02T15:07:47.290000+00:00,30.97,42.434,23.913,233.0,234,False,97.317,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2048]","[2049, 2049, 2048, 2049, 2049, 2048, 2048]",293.0
1229,9472,1,4,2024-03-02T15:08:33.130000+00:00,30.931,41.892,23.824,233.0,253,False,96.647,"[2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",
1229,9472,63,4,2024-03-02T15:08:35.058000+00:00,31.135,42.609,23.994,223.0,247,False,97.738,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",296.0
1229,9472,16,4,2024-03-02T15:08:36.013000+00:00,30.958,42.784,24.01,233.0,242,False,97.752,"[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, None, None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2048]",313.0
1229,9472,11,4,2024-03-02T15:08:36.682000+00:00,30.716,42.623,24.383,233.0,246,False,97.722,"[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",314.0
1229,9472,55,4,2024-03-02T15:08:37.735000+00:00,30.957,42.373,23.934,234.0,245,False,97.264,"[None, 2049, 2049, 2051, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2048, 2048, 2049]",304.0
1229,9472,4,4,2024-03-02T15:08:40.628000+00:00,31.115,42.193,24.142,232.0,253,False,97.45,"[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",294.0
1229,9472,14,4,2024-03-02T15:08:41.450000+00:00,30.951,42.58,24.245,230.0,242,False,97.776,"[None, 2049, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]",323.0
1229,9472,81,4,2024-03-02T15:08:42.010000+00:00,31.113,42.572,24.212,234.0,258,False,97.897,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]",300.0
1229,9472,44,4,2024-03-02T15:08:42.487000+00:00,30.983,43.146,24.158,228.0,243,False,98.287,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",297.0
