session_key,avg_openmeteo_temperature_2m_c,avg_openmeteo_relative_humidity_2m_pct,total_openmeteo_precipitation_mm,total_openmeteo_rain_mm,avg_openmeteo_cloud_cover_pct,avg_openmeteo_wind_speed_10m_kmh,max_openmeteo_wind_gusts_10m_kmh,avg_openf1_track_temperature_c,avg_openf1_air_temperature_c,avg_openf1_humidity_pct,openf1_rainfall_flag,avg_openf1_wind_speed,openmeteo_rain_flag,weather_context_id,openf1_track_temp_bin,openf1_weather_category
9566,24.1875,70.0,0.2,0.2,31.125,5.754166666666666,23.0,44.91612903225806,28.823870967741936,46.92258064516129,0,1.2496774193548386,True,9566,Hot,Rain
9574,15.875,79.625,0.0,0.0,45.5,9.387500000000001,26.3,42.26715328467154,21.32846715328467,49.583941605839414,0,1.6832116788321168,False,9574,Hot,Dry
9582,17.316666666666666,66.875,5.6000000000000005,5.6000000000000005,34.333333333333336,31.820833333333336,49.7,30.80588235294118,19.00588235294118,60.96078431372549,0,4.568627450980392,True,9582,Moderate,Rain
9590,24.974999999999998,68.75,19.1,19.1,61.708333333333336,7.854166666666667,55.4,49.31127819548872,33.1015037593985,32.285714285714285,0,1.518796992481203,True,9590,Very hot,Rain
9598,22.662499999999998,47.375,0.0,0.0,13.291666666666666,16.991666666666667,43.9,44.34934210526316,26.70592105263158,38.01973684210526,0,1.5513157894736842,False,9598,Hot,Dry
9606,29.59166666666667,74.29166666666667,0.0,0.0,90.625,10.416666666666666,24.5,36.445625,30.786250000000003,74.65,0,0.9550000000000001,False,9606,Hot,Dry
9617,23.03333333333333,55.416666666666664,0.0,0.0,0.3333333333333333,10.466666666666667,28.8,46.60193548387097,28.121290322580645,35.535483870967745,0,1.5,False,9617,Very hot,Dry
9625,15.049999999999999,71.58333333333333,1.8,1.8,55.791666666666664,12.458333333333334,31.3,35.60251572327044,19.88867924528302,51.0503144654088,0,2.150943396226415,True,9625,Hot,Rain
9636,20.195833333333333,93.0,16.6,16.6,100.0,9.2875,27.7,25.769651741293533,21.66268656716418,85.2587064676617,1,0.735820895522388,True,9636,Moderate,Rain
9644,16.120833333333334,44.208333333333336,0.0,0.0,45.041666666666664,14.833333333333334,54.4,17.723776223776223,17.825174825174827,47.86013986013986,0,2.8986013986013988,False,9644,Cool,Dry
9655,19.716666666666665,59.958333333333336,0.0,0.0,4.083333333333333,20.525000000000002,46.1,22.773509933774836,18.926490066225167,57.25165562913907,0,1.6576158940397352,False,9655,Cool,Dry
9662,23.587500000000002,51.458333333333336,0.0,0.0,0.0,10.091666666666667,28.4,31.805405405405406,26.76824324324324,51.445945945945944,0,1.9006756756756757,False,9662,Moderate,Dry
9673,16.2,82.875,1.7,1.7,100.0,6.979166666666667,22.3,29.792727272727273,18.63939393939394,66.06060606060606,0,1.68,True,9673,Moderate,Rain
9693,14.845833333333333,68.91666666666667,13.1,13.1,61.625,22.974999999999998,69.5,18.942134831460674,15.707865168539326,78.42134831460675,1,3.4752808988764046,True,9693,Cool,Rain
9839,23.712500000000002,65.33333333333333,0.0,0.0,3.375,10.583333333333334,32.8,31.06168831168831,26.674025974025977,60.44155844155844,0,1.5733766233766235,False,9839,Moderate,Dry
9850,21.545833333333334,69.0,0.0,0.0,6.708333333333333,9.520833333333334,22.7,28.160402684563756,22.599328859060403,69.04697986577182,0,1.2510067114093961,False,9850,Moderate,Dry
9858,12.804166666666667,58.666666666666664,0.0,0.0,27.291666666666668,5.566666666666666,21.2,19.52978723404255,16.73404255319149,37.765957446808514,0,1.4368794326241134,False,9858,Cool,Dry
9869,16.216666666666665,83.58333333333333,2.4,2.4,91.41666666666667,14.4125,48.2,30.69276315789474,17.348026315789475,70.57236842105263,0,1.5098684210526316,True,9869,Moderate,Rain
9877,19.8125,46.833333333333336,0.0,0.0,8.625,4.529166666666667,28.4,50.588271604938264,26.405555555555555,23.234567901234566,0,1.847530864197531,False,9877,Very hot,Dry
9888,25.454166666666666,40.375,0.0,0.0,4.291666666666667,16.383333333333333,46.4,45.04480519480519,28.267532467532465,22.532467532467532,0,2.0824675324675326,False,9888,Very hot,Dry
9896,27.608333333333334,81.54166666666667,1.8,1.8,87.75,6.333333333333333,42.1,33.85217391304348,29.072049689440995,74.36024844720497,1,1.1111801242236026,True,9896,Moderate,Rain
9904,17.054166666666667,72.70833333333333,0.8,0.8,96.29166666666667,22.116666666666664,61.9,26.10705128205128,20.551923076923078,59.833333333333336,0,1.507051282051282,True,9904,Moderate,Rain
9912,20.325,74.25,0.0,0.0,73.91666666666667,3.533333333333333,19.4,43.28819444444444,26.76111111111111,42.604166666666664,0,1.9604166666666667,False,9912,Hot,Dry
9920,18.75,80.625,3.4000000000000004,3.4000000000000004,91.125,16.229166666666668,34.9,27.963522012578615,20.077358490566038,71.17610062893081,0,2.170440251572327,True,9920,Moderate,Rain
9928,20.495833333333334,68.16666666666667,3.1,3.1,97.25,9.958333333333334,33.5,32.04191176470588,22.05,57.0514705882353,0,2.0875,True,9928,Moderate,Rain
9939,15.179166666666667,92.33333333333333,11.3,11.3,97.29166666666667,9.375,32.8,24.090134529147985,17.03004484304933,84.4439461883408,1,1.446188340807175,True,9939,Cool,Rain
9947,16.912499999999998,76.70833333333333,12.1,12.1,86.58333333333333,15.3125,45.4,23.578709677419354,17.91741935483871,78.3741935483871,1,1.4832258064516128,True,9947,Cool,Rain
9955,24.150000000000002,59.416666666666664,0.0,0.0,35.625,4.595833333333333,33.8,49.166459627329196,30.347826086956523,31.981366459627328,0,1.6180124223602483,False,9955,Very hot,Dry
9963,18.620833333333334,45.333333333333336,0.0,0.0,11.5,4.695833333333334,34.2,49.25329341317365,24.036526946107784,27.976047904191617,1,1.0377245508982036,False,9963,Very hot,Rain
9971,23.59166666666667,62.916666666666664,0.0,0.0,56.916666666666664,4.841666666666667,28.8,48.54322580645161,29.12,54.6258064516129,0,1.6329032258064515,False,9971,Very hot,Dry
9979,18.408333333333335,67.625,0.0,0.0,38.916666666666664,6.895833333333333,34.2,43.3175,22.209375,52.51875,0,0.9793750000000001,False,9979,Hot,Dry
9987,17.820833333333333,57.166666666666664,1.0,1.0,12.791666666666666,18.920833333333334,43.9,42.664,23.964666666666666,38.306666666666665,0,3.2479999999999998,True,9987,Hot,Rain
9998,20.108333333333334,52.583333333333336,3.4,3.4,43.25,13.137500000000001,48.2,35.81688311688312,27.215584415584413,18.233766233766232,0,2.188311688311688,True,9998,Hot,Rain
10006,11.816666666666668,78.79166666666667,7.4,7.4,42.0,10.15,39.2,20.514285714285716,14.43,76.37142857142857,0,1.2021428571428572,True,10006,Cool,Rain
10014,26.054166666666664,55.333333333333336,0.0,0.0,8.375,17.162499999999998,47.9,31.870253164556964,27.052531645569623,45.32911392405063,0,2.1056962025316457,False,10014,Moderate,Dry
10022,30.616666666666664,45.416666666666664,0.0,0.0,0.9583333333333334,7.966666666666666,40.0,37.819718309859155,29.483802816901406,62.725352112676056,0,1.0260563380281689,False,10022,Hot,Dry
10033,25.3,74.29166666666667,2.0,2.0,77.83333333333333,6.4624999999999995,34.9,38.690604026845634,26.57315436241611,63.02013422818792,1,1.0469798657718121,True,10033,Hot,Rain
